"Journal Data Filtered By:  Selected JCR Year: 2016 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,JCR Abbreviated Title,Journal Impact Factor,Average Journal Impact Factor Percentile
2497,JOURNAL OF PHYSIOLOGY AND PHARMACOLOGY,J PHYSIOL PHARMACOL,2.883,66.071
2498,PEDIATRIC RESEARCH,PEDIATR RES,2.882,86.364
2499,CONTRACEPTION,CONTRACEPTION,2.879,79.375
2500,Journal of Business Logistics,J BUS LOGIST,2.878,76.031
2500,SUPERCONDUCTOR SCIENCE & TECHNOLOGY,SUPERCOND SCI TECH,2.878,72.033
2502,CONTEMPORARY EDUCATIONAL PSYCHOLOGY,CONTEMP EDUC PSYCHOL,2.877,85.345
2503,JOURNAL OF SMALL BUSINESS MANAGEMENT,J SMALL BUS MANAGE,2.876,75.515
2504,DIGESTIVE DISEASES AND SCIENCES,DIGEST DIS SCI,2.875,51.266
2505,CLINICA CHIMICA ACTA,CLIN CHIM ACTA,2.873,75.000
2505,TUBERCULOSIS,TUBERCULOSIS,2.873,54.810
2507,NMR IN BIOMEDICINE,NMR BIOMED,2.872,72.692
2508,GEOTEXTILES AND GEOMEMBRANES,GEOTEXT GEOMEMBRANES,2.870,83.431
2508,PROTOPLASMA,PROTOPLASMA,2.870,60.925
2510,ANIMAL BEHAVIOUR,ANIM BEHAV,2.869,81.523
2510,Allergy Asthma and Clinical Immunology,ALLERGY ASTHMA CL IM,2.869,42.543
2510,PLANT CELL REPORTS,PLANT CELL REP,2.869,79.009
2513,AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY,AM J GERIAT PSYCHIAT,2.868,69.011
2513,AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY,AM J GERIAT PSYCHIAT,2.868,69.011
2513,JOURNAL OF SUBSTANCE ABUSE TREATMENT,J SUBST ABUSE TREAT,2.868,80.135
2513,Regenerative Medicine,REGEN MED,2.868,50.866
2517,TOXICOLOGY IN VITRO,TOXICOL IN VITRO,2.866,63.587
2518,Current Rheumatology Reports,CURR RHEUMATOL REP,2.865,55.000
2518,JOURNAL DER DEUTSCHEN DERMATOLOGISCHEN GESELLSCHAFT,J DTSCH DERMATOL GES,2.865,83.333
2518,JOURNAL OF ENVIRONMENTAL SCIENCES,J ENVIRON SCI-CHINA,2.865,67.467
2521,CURRENT TOPICS IN MEDICINAL CHEMISTRY,CURR TOP MED CHEM,2.864,62.500
2522,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,INT J HUM-COMPUT ST,2.863,85.809
2522,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,INT J HUM-COMPUT ST,2.863,85.809
2522,MACROMOLECULAR MATERIALS AND ENGINEERING,MACROMOL MATER ENG,2.863,73.773
2525,COMPUTATIONAL MECHANICS,COMPUT MECH,2.861,87.923
2525,G3-Genes Genomes Genetics,G3-GENES GENOM GENET,2.861,57.784
2525,MOLECULES,MOLECULES,2.861,72.034
2528,IMMUNOLOGY LETTERS,IMMUNOL LETT,2.860,44.040
2528,MATHEMATICAL MODELS & METHODS IN APPLIED SCIENCES,MATH MOD METH APPL S,2.860,97.843
2530,PROGRESS IN ORGANIC COATINGS,PROG ORG COAT,2.858,83.352
2531,Comparative Biochemistry and Physiology D-Genomics & Proteomics,COMP BIOCHEM PHYS D,2.857,54.369
2531,ORGANIC PROCESS RESEARCH & DEVELOPMENT,ORG PROCESS RES DEV,2.857,74.406
2533,Biology Direct,BIOL DIRECT,2.856,79.412
2534,TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY,TELLUS B,2.854,68.824
2535,ATHEROSCLEROSIS SUPPLEMENTS,ATHEROSCLEROSIS SUPP,2.852,51.587
2535,Corporate Social Responsibility and Environmental Management,CORP SOC RESP ENV MA,2.852,75.188
2535,Ecohydrology,ECOHYDROLOGY,2.852,73.709
2535,Journal of Geriatric Oncology,J GERIATR ONCOL,2.852,54.970
2539,ELECTROANALYSIS,ELECTROANAL,2.851,68.410
2540,JALA,JALA-J LAB AUTOM,2.850,68.519
2540,Journal of Applied Research in Memory and Cognition,J APPL RES MEM COGN,2.850,75.595
2540,TROPICAL MEDICINE & INTERNATIONAL HEALTH,TROP MED INT HEALTH,2.850,85.115
2543,COMPUTERS & SECURITY,COMPUT SECUR,2.849,75.000
2543,IEEE MULTIMEDIA,IEEE MULTIMEDIA,2.849,82.268
2543,Reproductive Biology and Endocrinology,REPROD BIOL ENDOCRIN,2.849,59.439
2546,AGRICULTURAL WATER MANAGEMENT,AGR WATER MANAGE,2.848,84.799
2546,BMC Medical Genomics,BMC MED GENOMICS,2.848,56.587
2546,International Wound Journal,INT WOUND J,2.848,78.817
2546,VIRCHOWS ARCHIV,VIRCHOWS ARCH,2.848,75.316
2546,WATER RESOURCES MANAGEMENT,WATER RESOUR MANAG,2.848,86.130
2546,WORLD DEVELOPMENT,WORLD DEV,2.848,91.370
2552,CHEMBIOCHEM,CHEMBIOCHEM,2.847,56.020
2552,COMPUTERS & STRUCTURES,COMPUT STRUCT,2.847,82.686
2552,JOURNAL OF PHYSICAL CHEMISTRY A,J PHYS CHEM A,2.847,62.605
2555,EUROPEAN JOURNAL OF MECHANICS A-SOLIDS,EUR J MECH A-SOLID,2.846,87.594
2555,Plasma Processes and Polymers,PLASMA PROCESS POLYM,2.846,76.111
2555,ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,ROBOT CIM-INT MANUF,2.846,74.970
2558,INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,INT J APPROX REASON,2.845,74.812
2559,Advances in Nonlinear Analysis,ADV NONLINEAR ANAL,2.844,97.680
2559,ECONOMIC POLICY,ECON POLICY,2.844,90.634
2559,INSECT MOLECULAR BIOLOGY,INSECT MOL BIOL,2.844,71.399
2562,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,IND ENG CHEM RES,2.843,75.185
2562,ULTRAMICROSCOPY,ULTRAMICROSCOPY,2.843,95.000
2564,EAR AND HEARING,EAR HEARING,2.842,89.643
2564,ECOLOGY AND SOCIETY,ECOL SOC,2.842,74.538
2564,ECOLOGY AND SOCIETY,ECOL SOC,2.842,74.538
2564,Neurodegenerative Diseases,NEURODEGENER DIS,2.842,54.897
2568,JOURNAL OF THE AMERICAN CERAMIC SOCIETY,J AM CERAM SOC,2.841,90.385
2569,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,IEEE T VIS COMPUT GR,2.840,87.264
2569,Pain Physician,PAIN PHYSICIAN,2.840,63.090
2571,ANNALS OF THE MISSOURI BOTANICAL GARDEN,ANN MO BOT GARD,2.838,78.538
2571,JOURNAL OF ENDOVASCULAR THERAPY,J ENDOVASC THER,2.838,62.690
2571,JOURNAL OF GENERAL VIROLOGY,J GEN VIROL,2.838,58.704
2571,JOURNAL OF POLYMER SCIENCE PART B-POLYMER PHYSICS,J POLYM SCI POL PHYS,2.838,72.674
2575,ZOOLOGICA SCRIPTA,ZOOL SCR,2.837,76.038
2576,AICHE JOURNAL,AICHE J,2.836,74.444
2577,ANIMAL CONSERVATION,ANIM CONSERV,2.835,74.700
2577,BIODRUGS,BIODRUGS,2.835,50.632
2579,EUROPEAN JOURNAL OF ORGANIC CHEMISTRY,EUR J ORG CHEM,2.834,68.644
2580,Advances In Atomic Molecular and Optical Physics,ADV ATOM MOL OPT PHY,2.833,69.565
2580,EUROPEAN PHYSICAL JOURNAL A,EUR PHYS J A,2.833,60.474
2580,Liquid Crystals Reviews,LIQ CRYST REV,2.833,67.527
2580,Nanoscale Research Letters,NANOSCALE RES LETT,2.833,66.314
2584,EXPERIMENTAL THERMAL AND FLUID SCIENCE,EXP THERM FLUID SCI,2.830,83.870
2585,American Journal of Translational Research,AM J TRANSL RES,2.829,54.832
2585,FOUNDATIONS OF COMPUTATIONAL MATHEMATICS,FOUND COMPUT MATH,2.829,93.248
2585,THIN-WALLED STRUCTURES,THIN WALL STRUCT,2.829,86.000
2588,REJUVENATION RESEARCH,REJUV RES,2.827,60.204
2589,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,J ORTHOP SPORT PHYS,2.825,86.377
2590,CLINICAL REHABILITATION,CLIN REHABIL,2.823,86.923
2591,DRUG AND ALCOHOL REVIEW,DRUG ALCOHOL REV,2.822,80.882
2591,Drug Design Development and Therapy,DRUG DES DEV THER,2.822,60.031
2591,LAW AND HUMAN BEHAVIOR,LAW HUMAN BEHAV,2.822,91.770
2591,MANAGEMENT SCIENCE,MANAGE SCI,2.822,79.712
2591,MANAGEMENT SCIENCE,MANAGE SCI,2.822,79.712
2596,AQUATIC SCIENCES,AQUAT SCI,2.821,80.095
2596,JOURNAL OF FLUID MECHANICS,J FLUID MECH,2.821,84.550
2596,Ocean Science,OCEAN SCI,2.821,74.697
2596,Psychology of Learning and Motivation,PSYCHOL LEARN MOTIV,2.821,74.405
2600,CARDIOVASCULAR DRUGS AND THERAPY,CARDIOVASC DRUG THER,2.820,59.420
2600,CURRENT TREATMENT OPTIONS IN ONCOLOGY,CURR TREAT OPTION ON,2.820,46.313
2600,EXPERIMENTAL HEMATOLOGY,EXP HEMATOL,2.820,59.269
2600,PAIN MEDICINE,PAIN MED,2.820,79.677
2604,EUROPEAN JOURNAL OF INFORMATION SYSTEMS,EUR J INFORM SYST,2.819,79.462
2604,EUROPEAN JOURNAL OF INFORMATION SYSTEMS,EUR J INFORM SYST,2.819,79.462
2606,EvoDevo,EVODEVO,2.818,59.921
2607,Environmental Science-Water Research & Technology,ENVIRON SCI-WAT RES,2.817,68.222
2608,Clinical Breast Cancer,CLIN BREAST CANCER,2.816,45.853
2608,HEADACHE,HEADACHE,2.816,59.536
2610,PERMAFROST AND PERIGLACIAL PROCESSES,PERMAFROST PERIGLAC,2.815,78.333
2611,CHINESE JOURNAL OF CATALYSIS,CHINESE J CATAL,2.813,69.783
2612,JOURNAL OF CLINICAL PHARMACOLOGY,J CLIN PHARMACOL,2.812,60.117
2612,PSYCHOLOGY AND AGING,PSYCHOL AGING,2.812,77.344
2614,PPAR Research,PPAR RES,2.811,61.328
2615,JOURNAL OF INDUSTRIAL MICROBIOLOGY & BIOTECHNOLOGY,J IND MICROBIOL BIOT,2.810,65.313
2616,JOURNAL OF PSYCHOSOMATIC RESEARCH,J PSYCHOSOM RES,2.809,63.762
2616,JOURNAL OF PSYCHOSOMATIC RESEARCH,J PSYCHOSOM RES,2.809,63.762
2616,PSYCHOLOGY OF SPORT AND EXERCISE,PSYCHOL SPORT EXERC,2.809,81.644
2616,PSYCHOLOGY OF SPORT AND EXERCISE,PSYCHOL SPORT EXERC,2.809,81.644
2620,JOURNAL OF ENDODONTICS,J ENDODONT,2.807,83.889
2621,PLoS One,PLOS ONE,2.806,77.344
2622,Annual Review of Political Science,ANNU REV POLIT SCI,2.804,91.818
2622,Journal of Global Health,J GLOB HEALTH,2.804,83.524
2622,Journal of Global Health,J GLOB HEALTH,2.804,83.524
2625,DEMOGRAPHY,DEMOGRAPHY,2.802,94.231
2626,Acta Geotechnica,ACTA GEOTECH,2.801,87.143
2626,BREAST,BREAST,2.801,61.758
2626,GENOMICS,GENOMICS,2.801,60.338
2629,Geoscience Data Journal,GEOSCI DATA J,2.800,71.400
2629,Journal of Legal Analysis,J LEGAL ANAL,2.800,94.966
2631,ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS,ANN ASSOC AM GEOGR,2.799,90.506
2631,CATALYSIS LETTERS,CATAL LETT,2.799,57.877
2631,JOURNAL OF BIOMEDICAL SCIENCE,J BIOMED SCI,2.799,51.194
2631,JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION,J PEDIATR GASTR NUTR,2.799,65.138
2635,JOURNAL OF REPRODUCTIVE IMMUNOLOGY,J REPROD IMMUNOL,2.798,54.978
2635,VETERINARY RESEARCH,VET RES,2.798,96.691
2637,ChemPlusChem,CHEMPLUSCHEM,2.797,61.747
2637,Genes and Nutrition,GENES NUTR,2.797,57.016
2637,JOURNAL OF HUMAN HYPERTENSION,J HUM HYPERTENS,2.797,48.413
2637,SOCIAL SCIENCE & MEDICINE,SOC SCI MED,2.797,84.864
2637,SOCIAL SCIENCE & MEDICINE,SOC SCI MED,2.797,84.864
2642,PROTIST,PROTIST,2.794,56.400
2643,npj Primary Care Respiratory Medicine,NPJ PRIM CARE RESP M,2.793,73.835
2644,JOURNAL OF EVOLUTIONARY BIOLOGY,J EVOLUTION BIOL,2.792,58.085
2644,POPULATION AND DEVELOPMENT REVIEW,POPUL DEV REV,2.792,92.920
2646,Energy for Sustainable Development,ENERGY SUSTAIN DEV,2.790,57.863
2646,IEEE TRANSACTIONS ON RELIABILITY,IEEE T RELIAB,2.790,79.353
2648,Energy Technology,ENERGY TECHNOL-GER,2.789,61.413
2649,Asian Journal of Organic Chemistry,ASIAN J ORG CHEM,2.788,66.949
2650,CELL AND TISSUE RESEARCH,CELL TISSUE RES,2.787,41.316
2650,EPJ Data Science,EPJ DATA SCI,2.787,88.658
2650,EPJ Data Science,EPJ DATA SCI,2.787,88.658
2650,International Journal of Hospitality Management,INT J HOSP MANAG,2.787,83.333
2654,APPLIED SOIL ECOLOGY,APPL SOIL ECOL,2.786,75.000
2654,JOURNAL OF THE AMERICAN SOCIETY FOR MASS SPECTROMETRY,J AM SOC MASS SPECTR,2.786,63.871
2656,Communications in Nonlinear Science and Numerical Simulation,COMMUN NONLINEAR SCI,2.784,88.912
2657,THINKING & REASONING,THINK REASONING,2.783,73.214
2658,JOURNAL OF THE AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,J AM ACAD ORTHOP SUR,2.782,79.213
2659,Frontiers in Zoology,FRONT ZOOL,2.781,94.172
2659,Molecular BioSystems,MOL BIOSYST,2.781,50.172
2659,Science China-Life Sciences,SCI CHINA LIFE SCI,2.781,78.235
2662,CURRENT GENE THERAPY,CURR GENE THER,2.780,54.192
2662,JOURNAL OF VASCULAR AND INTERVENTIONAL RADIOLOGY,J VASC INTERV RADIOL,2.780,61.011
2662,REGIONAL STUDIES,REG STUD,2.780,86.688
2665,INTERNATIONAL JOURNAL OF REFRIGERATION-REVUE INTERNATIONALE DU FROID,INT J REFRIG,2.779,81.817
2666,ALCOHOL,ALCOHOL,2.778,63.891
2666,AMERICAN JOURNAL OF ROENTGENOLOGY,AM J ROENTGENOL,2.778,74.409
2666,PEPTIDES,PEPTIDES,2.778,52.340
2669,INFORMATION SYSTEMS,INFORM SYST,2.777,72.945
2670,BIOCHIMICA ET BIOPHYSICA ACTA-PROTEINS AND PROTEOMICS,BBA-PROTEINS PROTEOM,2.773,55.221
2670,COMMUNICATION THEORY,COMMUN THEOR,2.773,91.772
2672,Journal of Nutrition Health & Aging,J NUTR HEALTH AGING,2.772,57.785
2672,RESPIRATION,RESPIRATION,2.772,58.475
2674,IEEE TRANSACTIONS ON NANOBIOSCIENCE,IEEE T NANOBIOSCI,2.771,56.598
2675,AAPG BULLETIN,AAPG BULL,2.770,75.798
2675,JOURNAL OF MANUFACTURING SYSTEMS,J MANUF SYST,2.770,80.184
2677,BOTANICAL REVIEW,BOT REV,2.769,78.066
2677,DRUGS & AGING,DRUG AGING,2.769,57.536
2677,Nano Communication Networks,NANO COMMUN NETW,2.769,64.575
2677,OPTICS AND LASERS IN ENGINEERING,OPT LASER ENG,2.769,75.543
2681,American Journal of Cardiovascular Drugs,AM J CARDIOVASC DRUG,2.768,58.050
2681,BMC INFECTIOUS DISEASES,BMC INFECT DIS,2.768,56.548
2683,JOURNAL OF STRUCTURAL BIOLOGY,J STRUCT BIOL,2.767,49.839
2684,Journal of Grid Computing,J GRID COMPUT,2.766,78.197
2685,BIOCHEMICAL SOCIETY TRANSACTIONS,BIOCHEM SOC T,2.765,48.793
2685,GENDER & SOCIETY,GENDER SOC,2.765,96.768
2687,JOURNAL OF MATERIALS SCIENCE & TECHNOLOGY,J MATER SCI TECHNOL,2.764,81.335
2687,PHYSICAL THERAPY,PHYS THER,2.764,83.811
2689,European Journal of Cardiovascular Nursing,EUR J CARDIOVASC NUR,2.763,84.712
2689,European Journal of Cardiovascular Nursing,EUR J CARDIOVASC NUR,2.763,84.712
2689,INFORMATION SYSTEMS RESEARCH,INFORM SYST RES,2.763,79.043
2692,IEEE Geoscience and Remote Sensing Letters,IEEE GEOSCI REMOTE S,2.761,70.977
2693,ICES JOURNAL OF MARINE SCIENCE,ICES J MAR SCI,2.760,84.132
2693,INTERNATIONAL JOURNAL OF SOLIDS AND STRUCTURES,INT J SOLIDS STRUCT,2.760,85.338
2693,Journal of Oral & Facial Pain and Headache,J ORAL FACIAL PAIN H,2.760,82.778
2693,POLITICAL PSYCHOLOGY,POLIT PSYCHOL,2.760,88.751
2697,BIOMEDICINE & PHARMACOTHERAPY,BIOMED PHARMACOTHER,2.759,58.968
2697,PLACENTA,PLACENTA,2.759,67.621
2699,Journal of the European Economic Association,J EUR ECON ASSOC,2.758,90.058
2699,PEDIATRIC PULMONOLOGY,PEDIATR PULM,2.758,70.745
2701,ADVANCES IN CHRONIC KIDNEY DISEASE,ADV CHRONIC KIDNEY D,2.757,69.481
2701,ALCOHOL AND ALCOHOLISM,ALCOHOL ALCOHOLISM,2.757,70.915
2701,ALCOHOL AND ALCOHOLISM,ALCOHOL ALCOHOLISM,2.757,70.915
2701,CLINICAL CARDIOLOGY,CLIN CARDIOL,2.757,55.952
2701,CURRENT MEDICAL RESEARCH AND OPINION,CURR MED RES OPIN,2.757,69.008
2706,Gut Pathogens,GUT PATHOG,2.756,52.167
2706,SKIN PHARMACOLOGY AND PHYSIOLOGY,SKIN PHARMACOL PHYS,2.756,68.970
2708,AMERICAN JOURNAL OF CLINICAL DERMATOLOGY,AM J CLIN DERMATOL,2.755,78.571
2708,BEST PRACTICE & RESEARCH CLINICAL OBSTETRICS & GYNAECOLOGY,BEST PRACT RES CL OB,2.755,75.625
2708,LEUKEMIA & LYMPHOMA,LEUKEMIA LYMPHOMA,2.755,49.965
2711,JOURNAL OF BIOMEDICAL INFORMATICS,J BIOMED INFORM,2.753,72.708
2712,JOURNAL OF FOOD COMPOSITION AND ANALYSIS,J FOOD COMPOS ANAL,2.752,78.809
2712,Neurocritical Care,NEUROCRIT CARE,2.752,59.056
2714,ANNALS OF PHARMACOTHERAPY,ANN PHARMACOTHER,2.748,57.393
2714,INTERNATIONAL JOURNAL OF WILDLAND FIRE,INT J WILDLAND FIRE,2.748,92.969
2714,MARINE BIOTECHNOLOGY,MAR BIOTECHNOL,2.748,74.174
2714,PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR,PHARMACOL BIOCHEM BE,2.748,57.307
2718,AGGRESSIVE BEHAVIOR,AGGRESSIVE BEHAV,2.747,71.979
2718,AGGRESSIVE BEHAVIOR,AGGRESSIVE BEHAV,2.747,71.979
2718,MicrobiologyOpen,MICROBIOLOGYOPEN,2.747,54.800
2721,BRAIN RESEARCH,BRAIN RES,2.746,48.456
2721,JOURNAL OF COMPUTATIONAL PHYSICS,J COMPUT PHYS,2.746,85.584
2723,Therapeutic Advances in Respiratory Disease,THER ADV RESPIR DIS,2.745,55.085
2724,ELECTROPHORESIS,ELECTROPHORESIS,2.744,64.347
2725,Expert Review of Gastroenterology & Hepatology,EXPERT REV GASTROENT,2.743,47.468
2725,IEEE TRANSACTIONS ON ULTRASONICS FERROELECTRICS AND FREQUENCY CONTROL,IEEE T ULTRASON FERR,2.743,80.710
2725,WORLD JOURNAL OF UROLOGY,WORLD J UROL,2.743,68.182
2728,PHYSICS IN MEDICINE AND BIOLOGY,PHYS MED BIOL,2.742,71.551
2729,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,ENVIRON SCI POLLUT R,2.741,65.721
2730,Cancer Cell International,CANCER CELL INT,2.740,44.470
2730,Neurophotonics,NEUROPHOTONICS,2.740,61.263
2732,CANCER CHEMOTHERAPY AND PHARMACOLOGY,CANCER CHEMOTH PHARM,2.737,50.312
2732,NUTRITION RESEARCH,NUTR RES,2.737,56.173
2734,Plant Genome,PLANT GENOME-US,2.736,65.594
2735,CLIMATE POLICY,CLIM POLICY,2.735,82.847
2735,STRAHLENTHERAPIE UND ONKOLOGIE,STRAHLENTHER ONKOL,2.735,58.192
2737,JOURNAL OF DIABETES AND ITS COMPLICATIONS,J DIABETES COMPLICAT,2.734,46.739
2738,JOURNAL OF GEOPHYSICAL RESEARCH-SPACE PHYSICS,J GEOPHYS RES-SPACE,2.733,65.873
2738,MENOPAUSE-THE JOURNAL OF THE NORTH AMERICAN MENOPAUSE SOCIETY,MENOPAUSE,2.733,74.375
2740,Accounting Auditing & Accountability Journal,ACCOUNT AUDIT ACCOUN,2.732,92.188
2740,Journal of Cardiology,J CARDIOL,2.732,55.159
2742,Current Atherosclerosis Reports,CURR ATHEROSCLER REP,2.731,45.238
2742,JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES,J TOXICOL ENV HEAL A,2.731,67.706
2744,JOURNAL OF SHOULDER AND ELBOW SURGERY,J SHOULDER ELB SURG,2.730,79.540
2745,Endoscopic Ultrasound,ENDOSC ULTRASOUND,2.728,46.203
2746,EUROPEAN JOURNAL OF CLINICAL MICROBIOLOGY & INFECTIOUS DISEASES,EUR J CLIN MICROBIOL,2.727,54.679
2746,JOURNAL OF AGRONOMY AND CROP SCIENCE,J AGRON CROP SCI,2.727,83.735
2746,TRANSACTIONS OF THE INSTITUTE OF BRITISH GEOGRAPHERS,T I BRIT GEOGR,2.727,87.975
2749,JOURNAL OF CHEMICAL THERMODYNAMICS,J CHEM THERMODYN,2.726,67.478
2749,NDT & E INTERNATIONAL,NDT&E INT,2.726,89.394
2751,WIND ENERGY,WIND ENERGY,2.725,71.509
2752,PAEDIATRIC AND PERINATAL EPIDEMIOLOGY,PAEDIATR PERINAT EP,2.724,77.621
2752,PLANT PHYSIOLOGY AND BIOCHEMISTRY,PLANT PHYSIOL BIOCH,2.724,77.123
2754,OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY,OMICS,2.723,58.216
2755,Applied Psychology-Health and Well Being,APPL PSYCHOL-HLTH WE,2.722,83.125
2756,ARCHIVES OF SEXUAL BEHAVIOR,ARCH SEX BEHAV,2.720,87.029
2756,Academic Pediatrics,ACAD PEDIATR,2.720,83.058
2756,IMMUNOBIOLOGY,IMMUNOBIOLOGY,2.720,42.053
2756,INTERNATIONAL ARCHIVES OF ALLERGY AND IMMUNOLOGY,INT ARCH ALLERGY IMM,2.720,39.296
2756,JOURNAL OF NEUROIMMUNOLOGY,J NEUROIMMUNOL,2.720,44.868
2761,ARCHIVES OF MEDICAL RESEARCH,ARCH MED RES,2.718,58.203
2761,FUZZY SETS AND SYSTEMS,FUZZY SET SYST,2.718,91.133
2761,Journal of Natural Gas Science and Engineering,J NAT GAS SCI ENG,2.718,66.101
2764,Journal of Diabetes Research,J DIABETES RES,2.717,51.718
2765,ALCOHOLISM-CLINICAL AND EXPERIMENTAL RESEARCH,ALCOHOL CLIN EXP RES,2.716,58.333
2765,Immunotherapy,IMMUNOTHERAPY-UK,2.716,40.066
2767,Clinical Trials,CLIN TRIALS,2.715,56.641
2767,MALARIA JOURNAL,MALARIA J,2.715,71.540
2769,COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,COLLOID SURFACE A,2.714,55.822
2769,EUROPEAN JOURNAL OF CLINICAL INVESTIGATION,EUR J CLIN INVEST,2.714,67.123
2769,JOURNAL OF FLUENCY DISORDERS,J FLUENCY DISORD,2.714,92.893
2769,JOURNAL OF FLUENCY DISORDERS,J FLUENCY DISORD,2.714,92.893
2769,MATERIALS CHARACTERIZATION,MATER CHARACT,2.714,82.440
2769,Primary Care Respiratory Journal,PRIM CARE RESP J,2.714,67.945
2769,Project Management Journal,PROJ MANAG J,2.714,73.454
2776,JOURNAL OF PHARMACEUTICAL SCIENCES,J PHARM SCI-US,2.713,58.290
2777,Cardiovascular Toxicology,CARDIOVASC TOXICOL,2.712,57.346
2778,ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,ZOOL J LINN SOC-LOND,2.711,93.558
2779,Journal of Hepato-Biliary-Pancreatic Sciences,J HEPATO-BIL-PAN SCI,2.710,59.397
2780,ADVANCES IN THERAPY,ADV THER,2.709,55.457
2780,PATHOLOGY,PATHOLOGY,2.709,74.051
2782,AUTONOMOUS ROBOTS,AUTON ROBOT,2.706,70.684
2782,Mycotoxin Research,MYCOTOXIN RES,2.706,60.453
2784,Journal of Cell Communication and Signaling,J CELL COMMUN SIGNAL,2.705,40.263
2784,MIT SLOAN MANAGEMENT REVIEW,MIT SLOAN MANAGE REV,2.705,70.147
2786,JOURNAL OF PHYSIOLOGY-PARIS,J PHYSIOL-PARIS,2.704,56.089
2787,JAMA Facial Plastic Surgery,JAMA FACIAL PLAST SU,2.703,73.350
2788,JOURNAL OF PROCESS CONTROL,J PROCESS CONTR,2.700,73.194
2789,FETAL DIAGNOSIS AND THERAPY,FETAL DIAGN THER,2.699,71.875
2790,Diabetes Technology & Therapeutics,DIABETES TECHNOL THE,2.698,45.290
2790,FITOTERAPIA,FITOTERAPIA,2.698,55.640
2790,SUPPORTIVE CARE IN CANCER,SUPPORT CARE CANCER,2.698,66.428
2793,Aesthetic Surgery Journal,AESTHET SURG J,2.697,72.843
2793,SOCIOLOGY OF EDUCATION,SOCIOL EDUC,2.697,94.156
2795,JOURNAL OF NEUROSURGERY-SPINE,J NEUROSURG-SPINE,2.696,65.420
2796,INFORMATION AND SOFTWARE TECHNOLOGY,INFORM SOFTWARE TECH,2.694,78.476
2796,JOURNAL OF BUSINESS AND PSYCHOLOGY,J BUS PSYCHOL,2.694,74.202
2798,Interface Focus,INTERFACE FOCUS,2.693,77.059
2798,TECTONOPHYSICS,TECTONOPHYSICS,2.693,70.833
2800,Information Communication & Society,INFORM COMMUN SOC,2.692,91.931
2800,JOURNAL OF EUKARYOTIC MICROBIOLOGY,J EUKARYOT MICROBIOL,2.692,53.200
2800,JOURNAL OF ORTHOPAEDIC RESEARCH,J ORTHOP RES,2.692,79.605
2800,SECURITY DIALOGUE,SECUR DIALOGUE,2.692,93.605
2804,COMPUTERS IN INDUSTRY,COMPUT IND,2.691,74.762
2804,Economic Systems Research,ECON SYST RES,2.691,89.769
2804,ORGANIZATION SCIENCE,ORGAN SCI,2.691,72.423
2807,European Journal of Sport Science,EUR J SPORT SCI,2.690,82.099
2807,Prehospital Emergency Care,PREHOSP EMERG CARE,2.690,78.267
2809,Colorectal Disease,COLORECTAL DIS,2.689,57.749
2810,COGNITION & EMOTION,COGNITION EMOTION,2.688,72.024
2810,ELECTRIC POWER SYSTEMS RESEARCH,ELECTR POW SYST RES,2.688,72.328
2810,EXPERIMENTAL BIOLOGY AND MEDICINE,EXP BIOL MED,2.688,54.297
2813,APPLIED GEOGRAPHY,APPL GEOGR,2.687,86.709
2813,GEOFLUIDS,GEOFLUIDS,2.687,77.907
2813,JOURNAL OF CATARACT AND REFRACTIVE SURGERY,J CATARACT REFR SURG,2.687,73.372
2813,JOURNAL OF CLINICAL PATHOLOGY,J CLIN PATHOL,2.687,72.785
2817,JOURNAL OF LUMINESCENCE,J LUMIN,2.686,73.370
2818,ACCIDENT ANALYSIS AND PREVENTION,ACCIDENT ANAL PREV,2.685,90.650
2819,Crime and Justice-A Review of Research,CRIME JUSTICE,2.684,90.517
2819,Current Stem Cell Research & Therapy,CURR STEM CELL RES T,2.684,32.964
2821,SOLAR PHYSICS,SOL PHYS,2.682,64.286
2822,ADVANCED ENGINEERING INFORMATICS,ADV ENG INFORM,2.680,78.125
2822,Progress in Brain Research,PROG BRAIN RES,2.680,46.911
